,Gender,Annual_Income,Dealer_Name,Company,Model,Engine,Color,Price_($),Body_Style,Claim_amount,City,Year,Month,Day
27,Male,791000,Progressive Shippers Cooperative Association No,Chrysler,LHS,Overhead Camshaft,Pale White,41000,Hatchback,0.0,Riga,2022,Jan,2
28,Male,13500,Race Car Help,Chrysler,LHS,Overhead Camshaft,Pale White,41000,Hatchback,0.0,Liepaja,2022,Jan,2
29,Male,1020000,Ryder Truck Rental and Leasing,Saturn,LW,Overhead Camshaft,Pale White,13000,Hatchback,0.0,Tukums,2022,Jan,2
30,Male,210000,Saab-Belle Dodge,Mitsubishi,3000GT,Overhead Camshaft,Pale White,20000,Sedan,0.0,Jelgava,2022,Jan,2
31,Male,750000,Scrivener Performance Engineering,Mercedes-B,SLK230,Overhead Camshaft,Pale White,14000,Hatchback,0.0,Riga,2022,Jan,2
32,Male,635000,Star Enterprises Inc,Honda,Accord,DoubleÃ‚Â Overhead Camshaft,Pale White,19000,Sedan,0.0,Riga,2022,Jan,2
33,Male,675000,Tri-State Mack Inc,Honda,Civic,Overhead Camshaft,Black,43000,Hatchback,0.0,Riga,2022,Jan,2
34,Male,880000,U-Haul CO,Jaguar,S-Type,DoubleÃ‚Â Overhead Camshaft,Black,16000,Passenger,0.0,Tukums,2022,Jan,2
35,Male,13500,Diehl Motor CO Inc,Volvo,S40,DoubleÃ‚Â Overhead Camshaft,Pale White,42000,Sedan,4200.0,Daugavpils,2022,Jan,3
36,Male,13500,Enterprise Rent A Car,Mercury,Mountaineer,DoubleÃ‚Â Overhead Camshaft,Pale White,21000,SUV,0.0,Daugavpils,2022,Jan,3
37,Male,13500,Gartner Buick Hyundai Saab,Buick,Park Avenue,DoubleÃ‚Â Overhead Camshaft,Black,61000,Hatchback,0.0,Riga,2022,Jan,3
38,Male,941000,Hatfield Volkswagen,Mitsubishi,Montero Sport,DoubleÃ‚Â Overhead Camshaft,Pale White,39000,SUV,0.0,Liepaja,2022,Jan,3
39,Female,13500,Star Enterprises Inc,Nissan,Sentra,DoubleÃ‚Â Overhead Camshaft,Black,16000,Passenger,1600.0,Jelgava,2022,Jan,3
40,Male,13500,Suburban Ford,Chrysler,Sebring Coupe,Overhead Camshaft,Pale White,26000,Sedan,0.0,Ventspils,2022,Jan,3
41,Female,13500,Tri-State Mack Inc,Volvo,S80,Overhead Camshaft,Pale White,21000,Sedan,0.0,Jelgava,2022,Jan,3
42,Male,967500,U-Haul CO,Chevrolet,Lumina,Overhead Camshaft,Black,42500,Passenger,0.0,Liepaja,2022,Jan,3
43,Male,600000,Diehl Motor CO Inc,Mitsubishi,Montero Sport,DoubleÃ‚Â Overhead Camshaft,Black,45001,Hatchback,0.0,Jelgava,2022,Jan,3
44,Male,575000,Enterprise Rent A Car,Pontiac,Bonneville,Overhead Camshaft,Black,36001,Hatchback,0.0,Riga,2022,Jan,3
45,Male,566000,Gartner Buick Hyundai Saab,Mercedes-B,C-Class,Overhead Camshaft,Pale White,12000,Hatchback,0.0,Liepaja,2022,Jan,3
46,Male,1250000,Hatfield Volkswagen,BMW,323i,Overhead Camshaft,Pale White,21001,Hatchback,0.0,Liepaja,2022,Jan,3
47,Male,730000,Rabun Used Car Sales,Acura,TL,DoubleÃ‚Â Overhead Camshaft,Pale White,29000,Hatchback,0.0,Ventspils,2022,Jan,3
48,Male,4060000,Race Car Help,Nissan,Altima,DoubleÃ‚Â Overhead Camshaft,Pale White,20000,Hatchback,2000.0,Jelgava,2022,Jan,3
49,Male,13500,Ryder Truck Rental and Leasing,Cadillac,DeVille,DoubleÃ‚Â Overhead Camshaft,Pale White,22000,SUV,0.0,Daugavpils,2022,Jan,3
50,Male,1180000,Saab-Belle Dodge,Dodge,Stratus,DoubleÃ‚Â Overhead Camshaft,Pale White,31000,Hatchback,0.0,Ventspils,2022,Jan,3
51,Male,1360000,Progressive Shippers Cooperative Association No,Audi,A4,DoubleÃ‚Â Overhead Camshaft,Black,27000,Hardtop,2700.0,Tukums,2022,Jan,3
52,Female,640000,C & M Motors Inc,Mercury,Cougar,DoubleÃ‚Â Overhead Camshaft,Black,33000,Hatchback,0.0,Ventspils,2022,Jan,3
53,Male,615000,Scrivener Performance Engineering,Chevrolet,Malibu,Overhead Camshaft,Pale White,14000,Hardtop,1400.0,Ventspils,2022,Jan,3
54,Male,520000,Chrysler of Tri-Cities,Acura,RL,Overhead Camshaft,Pale White,17000,SUV,0.0,Liepaja,2022,Jan,3
55,Male,1876000,Iceberg Rentals,Saturn,SW,DoubleÃ‚Â Overhead Camshaft,Pale White,25600,Passenger,0.0,Riga,2022,Jan,4
56,Male,13500,McKinney Dodge Chrysler Jeep,Volvo,C70,Overhead Camshaft,Black,17000,Hatchback,0.0,Jelgava,2022,Jan,4
57,Male,13500,Motor Vehicle Branch Office,Mercury,Mountaineer,Overhead Camshaft,Pale White,21000,SUV,0.0,Tukums,2022,Jan,4
58,Male,890000,Buddy Storbeck's Diesel Service Inc,Mercedes-B,C-Class,Overhead Camshaft,Pale White,12000,Hatchback,0.0,Ventspils,2022,Jan,4
59,Male,1800000,C & M Motors Inc,Mercedes-B,SLK,Overhead Camshaft,Pale White,17000,Passenger,1700.0,Jelgava,2022,Jan,4
60,Male,1330000,Ryder Truck Rental and Leasing,Toyota,Tacoma,Overhead Camshaft,Black,36000,Hardtop,0.0,Tukums,2022,Jan,4
61,Male,393000,Iceberg Rentals,Mercedes-B,C-Class,Overhead Camshaft,Pale White,17000,Hatchback,0.0,Ventspils,2022,Jan,4
62,Male,440000,McKinney Dodge Chrysler Jeep,Mercedes-B,M-Class,Overhead Camshaft,Pale White,41000,Hatchback,0.0,Tukums,2022,Jan,4
63,Female,280000,Nebo Chevrolet,Audi,A6,DoubleÃ‚Â Overhead Camshaft,Black,14000,SUV,0.0,Tukums,2022,Jan,4
64,Male,1151000,Scrivener Performance Engineering,Dodge,Intrepid,DoubleÃ‚Â Overhead Camshaft,Pale White,31100,Sedan,0.0,Ventspils,2022,Jan,4
65,Male,1650000,Star Enterprises Inc,Buick,Park Avenue,DoubleÃ‚Â Overhead Camshaft,Black,61000,Hatchback,0.0,Jelgava,2022,Jan,4
66,Male,13500,Suburban Ford,Dodge,Viper,Overhead Camshaft,Black,26000,SUV,0.0,Ventspils,2022,Jan,4
67,Male,895000,Chrysler Plymouth,Toyota,Sienna,Overhead Camshaft,Black,12000,Passenger,1200.0,Tukums,2022,Jan,4
68,Female,660000,Classic Chevy,Volvo,S40,DoubleÃ‚Â Overhead Camshaft,Pale White,42000,Sedan,0.0,Jelgava,2022,Jan,4
69,Male,13500,Clay Johnson Auto Sales,Mitsubishi,Diamante,DoubleÃ‚Â Overhead Camshaft,Pale White,21000,Hatchback,0.0,Liepaja,2022,Jan,4
70,Male,1636000,Nebo Chevrolet,Cadillac,DeVille,DoubleÃ‚Â Overhead Camshaft,Pale White,22600,SUV,0.0,Ventspils,2022,Jan,5
71,Female,1000000,New Castle Ford Lincoln Mercury,Jaguar,S-Type,Overhead Camshaft,Pale White,45000,Passenger,0.0,Riga,2022,Jan,5
72,Female,745000,Pars Auto Sales,Mitsubishi,Eclipse,Overhead Camshaft,Black,25000,SUV,0.0,Tukums,2022,Jan,5
73,Male,300000,Pitre Buick-Pontiac-Gmc of Scottsdale,Ford,Contour,DoubleÃ‚Â Overhead Camshaft,Pale White,62000,Sedan,0.0,Daugavpils,2022,Jan,5
74,Male,1097000,Progressive Shippers Cooperative Association No,Volkswagen,Jetta,DoubleÃ‚Â Overhead Camshaft,Black,22700,Passenger,0.0,Tukums,2022,Jan,5
75,Female,542000,Rabun Used Car Sales,Mitsubishi,Montero Sport,DoubleÃ‚Â Overhead Camshaft,Black,45000,SUV,0.0,Riga,2022,Jan,5
76,Male,1200000,Chrysler of Tri-Cities,Lincoln,Town car,Overhead Camshaft,Black,17000,Hatchback,0.0,Jelgava,2022,Jan,5
77,Male,490000,Motor Vehicle Branch Office,Ford,Focus,Overhead Camshaft,Black,49000,Hardtop,0.0,Tukums,2022,Jan,5
78,Male,410000,Classic Chevy,Audi,A6,Overhead Camshaft,Black,15000,SUV,0.0,Liepaja,2022,Jan,5
79,Male,930000,Clay Johnson Auto Sales,Acura,TL,DoubleÃ‚Â Overhead Camshaft,Black,28000,Hatchback,0.0,Daugavpils,2022,Jan,5
80,Male,480000,Tri-State Mack Inc,Nissan,Pathfinder,DoubleÃ‚Â Overhead Camshaft,Pale White,46000,Hardtop,0.0,Liepaja,2022,Jan,5
81,Female,1360000,Enterprise Rent A Car,Ford,Mustang,Overhead Camshaft,Pale White,43000,Hatchback,0.0,Liepaja,2022,Jan,5
82,Male,2200000,New Castle Ford Lincoln Mercury,Oldsmobile,Cutlass,DoubleÃ‚Â Overhead Camshaft,Pale White,41000,Sedan,4100.0,Ventspils,2022,Jan,5
83,Female,1100000,Pars Auto Sales,Chevrolet,Corvette,DoubleÃ‚Â Overhead Camshaft,Pale White,45000,SUV,0.0,Jelgava,2022,Jan,5
84,Male,13500,Pitre Buick-Pontiac-Gmc of Scottsdale,Chevrolet,Impala,Overhead Camshaft,Pale White,22001,Hatchback,0.0,Riga,2022,Jan,5
85,Male,1700000,Progressive Shippers Cooperative Association No,Volkswagen,Cabrio,Overhead Camshaft,Pale White,25001,Sedan,0.0,Tukums,2022,Jan,5
86,Male,1908000,Rabun Used Car Sales,Dodge,Dakota,Overhead Camshaft,Pale White,12800,Sedan,0.0,Jelgava,2022,Jan,5
87,Male,13500,Race Car Help,Chrysler,300M,DoubleÃ‚Â Overhead Camshaft,Black,26000,SUV,0.0,Jelgava,2022,Jan,5
88,Male,13500,Tri-State Mack Inc,BMW,328i,DoubleÃ‚Â Overhead Camshaft,Black,18000,Sedan,0.0,Ventspils,2022,Jan,5
89,Male,2550000,U-Haul CO,Oldsmobile,Bravada,DoubleÃ‚Â Overhead Camshaft,Pale White,19000,Hatchback,0.0,Liepaja,2022,Jan,5
90,Male,1245000,Buddy Storbeck's Diesel Service Inc,Nissan,Maxima,Overhead Camshaft,Pale White,22500,Sedan,0.0,Riga,2022,Jan,5
91,Male,13500,Race Car Help,Dodge,Ram Pickup,Overhead Camshaft,Pale White,21001,Hardtop,0.0,Daugavpils,2022,Jan,5
92,Male,1115000,Saab-Belle Dodge,Chrysler,Concorde,DoubleÃ‚Â Overhead Camshaft,Pale White,46500,Hardtop,0.0,Ventspils,2022,Jan,5
93,Male,13500,Chrysler of Tri-Cities,Chrysler,300M,DoubleÃ‚Â Overhead Camshaft,Pale White,16000,SUV,0.0,Riga,2022,Jan,5
94,Male,2110000,Diehl Motor CO Inc,Volvo,V70,DoubleÃ‚Â Overhead Camshaft,Black,39000,Passenger,0.0,Tukums,2022,Jan,5
95,Female,13500,Enterprise Rent A Car,Nissan,Quest,Overhead Camshaft,Black,19000,SUV,0.0,Liepaja,2022,Jan,5
96,Male,1050000,Gartner Buick Hyundai Saab,Chrysler,LHS,DoubleÃ‚Â Overhead Camshaft,Black,26000,Hatchback,0.0,Riga,2022,Jan,5
97,Male,13500,Hatfield Volkswagen,Honda,Accord,Overhead Camshaft,Black,43000,Sedan,0.0,Liepaja,2022,Jan,5
98,Female,13500,Iceberg Rentals,Nissan,Maxima,Overhead Camshaft,Pale White,54000,Sedan,0.0,Daugavpils,2022,Jan,5
99,Male,320000,McKinney Dodge Chrysler Jeep,Dodge,Durango,DoubleÃ‚Â Overhead Camshaft,Pale White,22000,SUV,0.0,Jelgava,2022,Jan,5
100,Male,13500,Race Car Help,Lexus,ES300,DoubleÃ‚Â Overhead Camshaft,Black,16001,SUV,1600.0,Ventspils,2022,Jan,6
101,Female,760000,Ryder Truck Rental and Leasing,BMW,328i,DoubleÃ‚Â Overhead Camshaft,Black,16001,Sedan,0.0,Ventspils,2022,Jan,6
102,Male,1390000,Gartner Buick Hyundai Saab,Toyota,Land Cruiser,DoubleÃ‚Â Overhead Camshaft,Pale White,12000,SUV,0.0,Tukums,2022,Jan,6
103,Male,659000,Buddy Storbeck's Diesel Service Inc,Mercedes-B,SL-Class,Overhead Camshaft,Black,38000,Hardtop,0.0,Riga,2022,Jan,6
104,Male,1330000,Ryder Truck Rental and Leasing,Ford,Explorer,DoubleÃ‚Â Overhead Camshaft,Pale White,42000,Hatchback,0.0,Tukums,2022,Jan,6
105,Male,13500,Saab-Belle Dodge,Nissan,Pathfinder,DoubleÃ‚Â Overhead Camshaft,Pale White,21000,Hatchback,0.0,Liepaja,2022,Jan,6
106,Female,13500,Chrysler Plymouth,Volvo,C70,DoubleÃ‚Â Overhead Camshaft,Black,49000,Hatchback,0.0,Jelgava,2022,Jan,6
107,Male,1362000,Chrysler of Tri-Cities,Chevrolet,Prizm,Overhead Camshaft,Pale White,21200,Hardtop,0.0,Tukums,2022,Jan,6
108,Male,480000,Motor Vehicle Branch Office,Mercury,Grand Marquis,Overhead Camshaft,Pale White,71000,SUV,0.0,Tukums,2022,Jan,6
109,Female,365000,Nebo Chevrolet,Chevrolet,Camaro,DoubleÃ‚Â Overhead Camshaft,Pale White,17000,Sedan,0.0,Daugavpils,2022,Jan,6
110,Female,481000,Saab-Belle Dodge,Subaru,Outback,DoubleÃ‚Â Overhead Camshaft,Pale White,57001,SUV,0.0,Ventspils,2022,Jan,9
111,Male,700000,Scrivener Performance Engineering,Buick,Park Avenue,DoubleÃ‚Â Overhead Camshaft,Pale White,62001,Hatchback,0.0,Jelgava,2022,Jan,9
112,Male,1350000,Star Enterprises Inc,Ford,Taurus,Overhead Camshaft,Black,69001,SUV,0.0,Daugavpils,2022,Jan,9
113,Male,750000,Suburban Ford,Chevrolet,Cavalier,Overhead Camshaft,Pale White,20001,SUV,0.0,Daugavpils,2022,Jan,9
114,Male,451000,McKinney Dodge Chrysler Jeep,Audi,A4,DoubleÃ‚Â Overhead Camshaft,Black,27000,Hardtop,0.0,Ventspils,2022,Jan,9
115,Female,650000,U-Haul CO,Ford,Focus,Overhead Camshaft,Black,49000,Hardtop,0.0,Jelgava,2022,Jan,9
116,Male,700000,Motor Vehicle Branch Office,Mitsubishi,Diamante,Overhead Camshaft,Black,49000,Hatchback,0.0,Jelgava,2022,Jan,9
117,Female,13500,Nebo Chevrolet,Lexus,GS400,DoubleÃ‚Â Overhead Camshaft,Black,12000,Hatchback,0.0,Jelgava,2022,Jan,9
118,Female,1220000,Scrivener Performance Engineering,Mercedes-B,M-Class,Overhead Camshaft,Pale White,25000,Hatchback,0.0,Riga,2022,Jan,9
119,Male,1300000,Star Enterprises Inc,Chrysler,Concorde,DoubleÃ‚Â Overhead Camshaft,Pale White,42000,Hatchback,0.0,Riga,2022,Jan,9
120,Male,470000,Suburban Ford,Chrysler,Sebring Coupe,DoubleÃ‚Â Overhead Camshaft,Pale White,19000,Sedan,0.0,Daugavpils,2022,Jan,9
121,Female,1167500,Tri-State Mack Inc,Chevrolet,Monte Carlo,Overhead Camshaft,Pale White,26750,Hatchback,0.0,Jelgava,2022,Jan,9
122,Male,3000000,Clay Johnson Auto Sales,Cadillac,Eldorado,DoubleÃ‚Â Overhead Camshaft,Pale White,31000,Passenger,0.0,Daugavpils,2022,Jan,9
123,Male,1900000,Diehl Motor CO Inc,Saturn,LW,Overhead Camshaft,Pale White,49000,Hatchback,0.0,Riga,2022,Jan,9
124,Female,1690000,Enterprise Rent A Car,Hyundai,Sonata,Overhead Camshaft,Black,15000,SUV,0.0,Liepaja,2022,Jan,9
125,Male,2800000,Gartner Buick Hyundai Saab,Mercury,Sable,DoubleÃ‚Â Overhead Camshaft,Pale White,26000,Sedan,0.0,Liepaja,2022,Jan,9
126,Male,642000,Suburban Ford,Mercedes-B,SL-Class,Overhead Camshaft,Pale White,17000,Hardtop,1700.0,Tukums,2022,Jan,9
127,Female,705000,Pars Auto Sales,Volvo,C70,Overhead Camshaft,Pale White,24000,Hatchback,0.0,Liepaja,2022,Jan,9
128,Male,670000,Pitre Buick-Pontiac-Gmc of Scottsdale,Chevrolet,Metro,DoubleÃ‚Â Overhead Camshaft,Pale White,19000,Passenger,0.0,Jelgava,2022,Jan,9
129,Male,13500,Progressive Shippers Cooperative Association No,Jaguar,S-Type,Overhead Camshaft,Pale White,20000,Passenger,0.0,Tukums,2022,Jan,9
130,Female,1985000,Tri-State Mack Inc,Acura,TL,DoubleÃ‚Â Overhead Camshaft,Black,28501,Hatchback,0.0,Jelgava,2022,Jan,10
131,Male,1275000,New Castle Ford Lincoln Mercury,BMW,323i,DoubleÃ‚Â Overhead Camshaft,Pale White,15500,Hatchback,0.0,Riga,2022,Jan,10
132,Male,13500,U-Haul CO,Plymouth,Voyager,Overhead Camshaft,Pale White,20000,Passenger,0.0,Riga,2022,Jan,10
133,Male,1650000,Hatfield Volkswagen,Nissan,Maxima,Overhead Camshaft,Pale White,29000,Sedan,0.0,Ventspils,2022,Jan,10
134,Male,520500,Rabun Used Car Sales,Chrysler,Cirrus,DoubleÃ‚Â Overhead Camshaft,Pale White,12500,Passenger,0.0,Riga,2022,Jan,10
135,Female,500000,U-Haul CO,Mercury,Grand Marquis,Overhead Camshaft,Pale White,16001,SUV,1600.0,Ventspils,2022,Jan,12
136,Male,1172500,Buddy Storbeck's Diesel Service Inc,Lexus,ES300,DoubleÃ‚Â Overhead Camshaft,Pale White,27250,SUV,0.0,Liepaja,2022,Jan,12
137,Male,441000,C & M Motors Inc,Dodge,Intrepid,Overhead Camshaft,Black,11000,Sedan,0.0,Tukums,2022,Jan,12
138,Male,1310000,Capitol KIA,Nissan,Maxima,Overhead Camshaft,Pale White,22001,Sedan,0.0,Riga,2022,Jan,12
139,Male,13500,Chrysler of Tri-Cities,Dodge,Avenger,DoubleÃ‚Â Overhead Camshaft,Pale White,22000,Passenger,0.0,Riga,2022,Jan,12
140,Male,1200000,Chrysler Plymouth,Chevrolet,Corvette,Overhead Camshaft,Pale White,22000,SUV,0.0,Jelgava,2022,Jan,12
141,Male,1680000,Pars Auto Sales,Acura,RL,Overhead Camshaft,Black,18000,SUV,1800.0,Riga,2022,Jan,12
142,Male,1340000,Pitre Buick-Pontiac-Gmc of Scottsdale,Honda,Odyssey,Overhead Camshaft,Pale White,27000,Passenger,0.0,Ventspils,2022,Jan,12
143,Female,901000,Progressive Shippers Cooperative Association No,Oldsmobile,Intrigue,Overhead Camshaft,Pale White,25000,SUV,0.0,Jelgava,2022,Jan,12
144,Female,849500,Rabun Used Car Sales,Acura,RL,Overhead Camshaft,Pale White,26500,SUV,0.0,Riga,2022,Jan,12
145,Male,13500,Race Car Help,Ford,Taurus,Overhead Camshaft,Black,69000,SUV,0.0,Ventspils,2022,Jan,12
146,Female,1071500,Ryder Truck Rental and Leasing,Oldsmobile,Silhouette,Overhead Camshaft,Pale White,14150,Sedan,0.0,Tukums,2022,Jan,12
147,Male,1740000,Progressive Shippers Cooperative Association No,Saab,05-Sep,Overhead Camshaft,Pale White,28000,Hatchback,2800.0,Tukums,2022,Jan,12
148,Male,13500,Rabun Used Car Sales,Honda,Civic,Overhead Camshaft,Black,43000,Hatchback,0.0,Jelgava,2022,Jan,12
149,Male,1700000,Race Car Help,BMW,528i,Overhead Camshaft,Pale White,25000,SUV,0.0,Riga,2022,Jan,12
150,Male,1100000,Ryder Truck Rental and Leasing,Oldsmobile,Silhouette,DoubleÃ‚Â Overhead Camshaft,Pale White,12000,Sedan,0.0,Liepaja,2022,Jan,12
151,Male,13500,Saab-Belle Dodge,Lexus,LS400,DoubleÃ‚Â Overhead Camshaft,Black,39000,Sedan,3900.0,Liepaja,2022,Jan,12
152,Male,2155000,Scrivener Performance Engineering,Cadillac,Eldorado,DoubleÃ‚Â Overhead Camshaft,Black,60500,Passenger,0.0,Jelgava,2022,Jan,12
153,Male,13500,Iceberg Rentals,Volkswagen,Jetta,DoubleÃ‚Â Overhead Camshaft,Pale White,16000,Passenger,0.0,Riga,2022,Jan,12
154,Male,13500,McKinney Dodge Chrysler Jeep,Pontiac,Bonneville,DoubleÃ‚Â Overhead Camshaft,Pale White,19000,Hatchback,0.0,Ventspils,2022,Jan,12
155,Male,661000,Motor Vehicle Branch Office,Chevrolet,Monte Carlo,Overhead Camshaft,Black,44000,Hatchback,0.0,Liepaja,2022,Jan,12
156,Female,13500,Nebo Chevrolet,Oldsmobile,Aurora,Overhead Camshaft,Pale White,71000,Passenger,0.0,Jelgava,2022,Jan,12
157,Male,13500,New Castle Ford Lincoln Mercury,Ford,Mustang,Overhead Camshaft,Pale White,25000,Hatchback,0.0,Liepaja,2022,Jan,12
158,Male,2750000,Pars Auto Sales,Mitsubishi,Diamante,DoubleÃ‚Â Overhead Camshaft,Black,18000,Hatchback,0.0,Riga,2022,Jan,12
159,Male,13500,Race Car Help,Ford,Expedition,Overhead Camshaft,Pale White,22000,SUV,0.0,Tukums,2022,Jan,12
160,Male,13500,Diehl Motor CO Inc,Mercedes-B,M-Class,Overhead Camshaft,Pale White,41000,Hardtop,0.0,Tukums,2022,Jan,12
161,Female,13500,Gartner Buick Hyundai Saab,Ford,Focus,Overhead Camshaft,Black,49000,Hardtop,0.0,Daugavpils,2022,Jan,12
162,Male,950000,Scrivener Performance Engineering,Volkswagen,Jetta,DoubleÃ‚Â Overhead Camshaft,Pale White,19000,Passenger,0.0,Jelgava,2022,Jan,12
163,Female,715000,Star Enterprises Inc,BMW,528i,Overhead Camshaft,Black,21000,SUV,0.0,Riga,2022,Jan,12
164,Female,13500,Rabun Used Car Sales,Subaru,Forester,DoubleÃ‚Â Overhead Camshaft,Black,22000,Hardtop,2200.0,Tukums,2022,Jan,12
165,Female,847000,Classic Chevy,Plymouth,Breeze,Overhead Camshaft,Pale White,16000,SUV,0.0,Tukums,2022,Jan,13
166,Female,13500,Clay Johnson Auto Sales,Volkswagen,Beetle,DoubleÃ‚Â Overhead Camshaft,Pale White,45000,SUV,0.0,Daugavpils,2022,Jan,13
167,Male,1176500,Diehl Motor CO Inc,Dodge,Intrepid,Overhead Camshaft,Black,11650,Sedan,0.0,Liepaja,2022,Jan,13
168,Male,955000,Enterprise Rent A Car,Hyundai,Elantra,Overhead Camshaft,Pale White,26000,Sedan,0.0,Tukums,2022,Jan,13
169,Male,800000,Saab-Belle Dodge,Saturn,SW,Overhead Camshaft,Black,36000,Passenger,0.0,Daugavpils,2022,Jan,13
170,Male,13500,Scrivener Performance Engineering,Lincoln,Continental,Overhead Camshaft,Pale White,82000,Passenger,8200.0,Tukums,2022,Jan,13
171,Female,13500,Star Enterprises Inc,Chevrolet,Camaro,DoubleÃ‚Â Overhead Camshaft,Pale White,24000,Sedan,0.0,Riga,2022,Jan,13
172,Male,626800,Nebo Chevrolet,Nissan,Pathfinder,Overhead Camshaft,Pale White,11800,Hardtop,0.0,Tukums,2022,Jan,13
173,Male,2115000,Star Enterprises Inc,Toyota,RAV4,DoubleÃ‚Â Overhead Camshaft,Pale White,27500,Hatchback,0.0,Riga,2022,Jan,13
174,Male,2810000,Suburban Ford,Mercury,Villager,DoubleÃ‚Â Overhead Camshaft,Pale White,36000,Passenger,0.0,Ventspils,2022,Jan,13
175,Male,13500,Tri-State Mack Inc,Jaguar,S-Type,Overhead Camshaft,Pale White,20000,Passenger,0.0,Jelgava,2022,Jan,13
176,Male,13500,U-Haul CO,Mercedes-B,SLK,Overhead Camshaft,Pale White,17000,Passenger,0.0,Ventspils,2022,Jan,13
177,Male,1589000,Pitre Buick-Pontiac-Gmc of Scottsdale,Volkswagen,Jetta,DoubleÃ‚Â Overhead Camshaft,Pale White,16900,Passenger,0.0,Liepaja,2022,Jan,13
